Year,Week,Total Sales,Kelurahan,Kecamatan,Gender,Pekerjaan,Pengeluaran,Pendidikan,Tipe Pembeli,Umur,0,1,2,3,4,5
2021,5,10,120.0,4.2,0.4,9.6,3.2,3.2,0.0,35.5,1,0,4,0,5,0
2021,6,27,112.5925925925926,6.888888888888889,0.5555555555555556,10.074074074074074,2.962962962962963,3.4814814814814814,0.0,42.51851851851852,1,0,7,0,19,0
2021,7,19,121.3157894736842,11.105263157894736,0.42105263157894735,13.842105263157896,2.789473684210526,3.1578947368421053,0.0,43.578947368421055,0,0,4,1,14,0
2021,8,30,101.4,6.366666666666666,0.5,10.966666666666667,3.533333333333333,3.7,0.06666666666666667,40.6,3,1,6,0,20,0
2021,9,20,113.05,9.55,0.3,11.9,3.55,3.8,0.0,41.9,0,0,5,0,15,0
2021,10,47,75.91489361702128,4.531914893617022,1.297872340425532,16.78723404255319,4.8936170212765955,5.0,0.48936170212765956,51.48936170212766,24,0,3,0,20,0
2021,11,17,109.82352941176471,8.411764705882353,0.47058823529411764,10.470588235294118,3.6470588235294117,3.5294117647058822,0.0,35.8235294117647,1,0,5,0,11,0
2021,12,20,108.65,7.3,0.55,10.55,3.95,3.65,0.05,37.5,0,1,1,0,18,0
2021,13,19,128.26315789473685,4.105263157894737,0.631578947368421,9.842105263157896,3.5789473684210527,2.8421052631578947,0.0,42.10526315789474,0,0,7,0,12,0
2021,14,28,111.57142857142857,4.392857142857143,0.5357142857142857,8.857142857142858,3.5,3.2857142857142856,0.0,36.67857142857143,1,0,5,0,22,0
2021,15,33,93.6969696969697,8.06060606060606,0.42424242424242425,10.333333333333334,3.242424242424242,3.212121212121212,0.0,38.333333333333336,6,1,3,0,23,0
2021,16,28,113.53571428571429,4.607142857142857,0.42857142857142855,9.071428571428571,3.392857142857143,3.357142857142857,0.0,43.32142857142857,2,0,7,0,19,0
2021,17,25,128.76,4.0,0.64,8.68,4.04,3.44,0.04,38.84,1,2,4,1,17,0
2021,18,38,112.78947368421052,8.157894736842104,0.5263157894736842,10.18421052631579,3.3421052631578947,3.6052631578947367,0.0,43.55263157894737,2,0,6,1,29,0
2021,19,18,111.16666666666667,12.38888888888889,0.5555555555555556,8.944444444444445,3.4444444444444446,2.9444444444444446,0.0,38.5,0,0,5,0,13,0
2021,20,23,108.78260869565217,5.608695652173913,0.43478260869565216,7.956521739130435,3.5217391304347827,3.217391304347826,0.0,43.08695652173913,1,3,0,0,19,0
2021,21,14,104.5,6.0,0.6428571428571429,9.285714285714286,3.0714285714285716,2.857142857142857,0.0,38.92857142857143,0,0,5,0,9,0
2021,22,28,119.14285714285714,5.607142857142857,0.39285714285714285,11.607142857142858,4.571428571428571,3.8214285714285716,0.0,39.32142857142857,0,0,6,0,22,0
2021,23,26,113.76923076923077,7.3076923076923075,0.38461538461538464,7.3076923076923075,3.3076923076923075,3.5384615384615383,0.0,39.30769230769231,0,0,2,1,23,0
2021,24,22,116.72727272727273,7.5,0.5454545454545454,7.181818181818182,3.409090909090909,3.727272727272727,0.0,37.45454545454545,1,1,5,0,15,0
2021,25,22,112.86363636363636,5.590909090909091,0.5,7.2272727272727275,5.045454545454546,3.5454545454545454,0.0,41.86363636363637,1,1,7,1,12,0
2021,26,19,107.63157894736842,11.210526315789474,0.631578947368421,7.105263157894737,3.6842105263157894,3.0526315789473686,0.0,41.05263157894737,1,0,5,0,13,0
2021,27,16,144.25,4.5,0.5625,8.5625,3.4375,3.6875,0.0,39.0625,1,1,5,0,9,0
2021,28,9,119.66666666666667,7.222222222222222,0.5555555555555556,6.0,3.3333333333333335,3.4444444444444446,0.0,36.111111111111114,0,0,2,0,7,0
2021,29,14,121.64285714285714,7.428571428571429,0.42857142857142855,5.428571428571429,3.4285714285714284,3.9285714285714284,0.0,37.57142857142857,1,0,3,0,10,0
2021,30,22,105.36363636363636,6.318181818181818,0.7727272727272727,9.5,3.1818181818181817,3.409090909090909,0.09090909090909091,36.36363636363637,0,2,3,0,17,0
2021,31,19,99.15789473684211,4.105263157894737,0.5789473684210527,7.7368421052631575,3.6842105263157894,3.1578947368421053,0.0,38.89473684210526,0,0,8,1,10,0
2021,32,50,75.72,5.6,1.28,16.34,5.44,5.5,0.56,31.8,32,1,6,0,11,0
2021,33,19,117.26315789473684,6.631578947368421,0.631578947368421,7.473684210526316,2.9473684210526314,3.0526315789473686,0.0,37.26315789473684,1,0,4,0,14,0
2021,34,21,110.23809523809524,8.523809523809524,0.42857142857142855,9.904761904761905,2.142857142857143,3.619047619047619,0.0,34.19047619047619,3,0,2,0,16,0
2021,35,36,113.38888888888889,10.055555555555555,0.5833333333333334,8.083333333333334,2.4166666666666665,3.3333333333333335,0.0,37.97222222222222,1,0,12,1,22,0
2021,36,37,125.5945945945946,5.756756756756757,0.5675675675675675,6.837837837837838,3.2162162162162162,3.3513513513513513,0.0,39.08108108108108,2,1,5,1,28,0
2021,37,36,109.61111111111111,4.194444444444445,0.5,8.583333333333334,2.5555555555555554,3.3055555555555554,0.0,40.05555555555556,1,2,5,0,28,0
2021,38,37,119.02702702702703,9.783783783783784,0.4864864864864865,9.27027027027027,3.5675675675675675,3.5675675675675675,0.0,42.13513513513514,1,2,4,1,29,0
2021,39,30,109.1,4.766666666666667,0.4666666666666667,9.4,3.3,3.2333333333333334,0.0,38.266666666666666,0,0,8,0,22,0
2021,40,35,122.14285714285714,6.428571428571429,0.4857142857142857,8.2,3.3714285714285714,2.742857142857143,0.0,33.57142857142857,4,0,8,0,23,0
2021,41,28,100.28571428571429,4.857142857142857,0.8214285714285714,6.714285714285714,4.607142857142857,3.25,0.03571428571428571,40.82142857142857,0,1,8,0,19,0
2021,42,33,137.5151515151515,10.181818181818182,0.48484848484848486,8.393939393939394,3.5454545454545454,3.515151515151515,0.0,37.93939393939394,0,1,2,0,30,0
2021,43,26,100.34615384615384,7.576923076923077,0.5769230769230769,9.692307692307692,3.1538461538461537,2.9615384615384617,0.0,37.15384615384615,2,0,6,0,18,0
2021,44,27,104.48148148148148,4.592592592592593,0.48148148148148145,8.814814814814815,4.2592592592592595,3.740740740740741,0.0,38.96296296296296,0,0,7,0,20,0
2021,45,30,114.6,7.933333333333334,0.6,9.2,3.933333333333333,3.3,0.0,38.96666666666667,0,0,6,0,24,0
2021,46,29,104.20689655172414,5.724137931034483,0.5517241379310345,9.068965517241379,3.6551724137931036,3.6206896551724137,0.0,37.206896551724135,2,1,4,0,22,0
2021,47,27,108.92592592592592,4.592592592592593,0.5555555555555556,8.851851851851851,2.962962962962963,3.0,0.0,40.81481481481482,2,1,5,0,19,0
2021,48,32,111.59375,7.1875,0.59375,9.28125,3.9375,3.3125,0.0625,30.71875,2,0,4,0,26,0
2021,49,37,101.37837837837837,4.378378378378378,0.40540540540540543,8.054054054054054,4.0,3.72972972972973,0.0,39.5945945945946,0,0,11,1,25,0
2021,50,38,105.76315789473684,10.394736842105264,0.4473684210526316,7.921052631578948,5.157894736842105,3.4473684210526314,0.0,41.05263157894737,1,0,6,0,31,0
2021,51,17,141.0,8.470588235294118,0.4117647058823529,10.529411764705882,4.0588235294117645,3.9411764705882355,0.058823529411764705,41.411764705882355,1,0,5,1,10,0
2021,52,9,115.0,9.222222222222221,0.3333333333333333,9.0,4.444444444444445,3.4444444444444446,0.0,45.55555555555556,0,0,5,0,4,0
2022,1,58,113.06896551724138,8.431034482758621,0.5862068965517241,10.60344827586207,4.793103448275862,3.810344827586207,0.08620689655172414,35.8448275862069,5,4,16,1,32,0
2022,2,31,135.29032258064515,4.0,0.5161290322580645,7.806451612903226,4.258064516129032,3.129032258064516,0.0,41.0,1,2,10,3,15,0
2022,3,26,119.57692307692308,4.615384615384615,0.46153846153846156,8.76923076923077,3.6923076923076925,3.6923076923076925,0.0,35.42307692307692,0,1,9,1,15,0
2022,4,29,108.6896551724138,9.10344827586207,0.4827586206896552,7.586206896551724,4.482758620689655,3.5517241379310347,0.0,38.724137931034484,0,0,4,3,22,0
2022,5,17,86.94117647058823,4.0,0.5882352941176471,7.352941176470588,5.705882352941177,3.6470588235294117,0.0,40.1764705882353,0,0,5,0,12,0
2022,6,30,116.03333333333333,4.8,0.6333333333333333,10.333333333333334,4.433333333333334,3.7666666666666666,0.03333333333333333,39.8,0,2,7,0,21,0
2022,7,57,58.24561403508772,5.087719298245614,1.6140350877192982,18.57894736842105,6.368421052631579,5.982456140350878,0.7192982456140351,29.666666666666668,7,35,0,1,14,0
2022,8,27,121.85185185185185,8.407407407407407,0.7777777777777778,8.074074074074074,5.111111111111111,3.5925925925925926,0.037037037037037035,37.25925925925926,2,0,0,0,25,0
2022,9,21,120.42857142857143,4.285714285714286,0.2857142857142857,9.380952380952381,3.9047619047619047,3.142857142857143,0.0,40.714285714285715,0,1,0,2,18,0
2022,10,48,104.16666666666667,7.583333333333333,0.6458333333333334,7.479166666666667,3.9583333333333335,3.5625,0.0,35.25,3,2,9,2,32,0
2022,11,30,111.66666666666667,7.7,0.5333333333333333,9.866666666666667,4.4,3.7,0.03333333333333333,38.833333333333336,2,0,4,0,24,0
2022,12,24,156.66666666666666,7.333333333333333,0.5,9.041666666666666,4.708333333333333,3.375,0.0,39.541666666666664,1,3,4,0,16,0
2022,13,23,133.7391304347826,4.608695652173913,0.6521739130434783,10.304347826086957,4.695652173913044,3.5217391304347827,0.043478260869565216,34.73913043478261,0,2,5,2,14,0
2022,14,56,115.10714285714286,8.053571428571429,0.42857142857142855,8.982142857142858,3.7142857142857144,3.7142857142857144,0.0,39.05357142857143,0,3,2,1,50,0
2022,15,36,112.86111111111111,10.166666666666666,0.5555555555555556,11.472222222222221,4.138888888888889,4.166666666666667,0.1111111111111111,35.583333333333336,5,2,1,0,28,0
2022,16,58,120.12068965517241,5.517241379310345,0.5517241379310345,8.810344827586206,3.689655172413793,3.6206896551724137,0.0,38.96551724137931,1,2,9,0,46,0
2022,17,52,122.23076923076923,6.346153846153846,0.5384615384615384,9.346153846153847,3.8076923076923075,3.7115384615384617,0.0,42.32692307692308,2,2,12,0,36,0
2022,18,2,34.5,4.5,1.0,6.0,3.0,3.0,0.0,31.5,0,0,0,1,1,0
2022,19,38,120.0,5.868421052631579,0.6578947368421053,7.684210526315789,3.9473684210526314,4.052631578947368,0.05263157894736842,39.13157894736842,0,0,5,1,32,0
2022,20,9,128.33333333333334,4.666666666666667,0.6666666666666666,10.222222222222221,4.888888888888889,3.111111111111111,0.0,34.111111111111114,1,0,1,0,7,0
2022,21,18,120.05555555555556,4.111111111111111,0.4444444444444444,10.777777777777779,4.055555555555555,3.888888888888889,0.0,34.05555555555556,1,0,3,0,14,0
2022,22,24,111.29166666666667,9.625,0.4583333333333333,10.916666666666666,3.6666666666666665,3.4166666666666665,0.0,33.333333333333336,0,4,3,1,16,0
2022,23,19,61.63157894736842,5.315789473684211,0.7894736842105263,11.0,3.789473684210526,4.052631578947368,0.10526315789473684,37.578947368421055,0,0,3,0,16,0
2022,24,22,90.86363636363636,4.636363636363637,0.36363636363636365,11.636363636363637,4.181818181818182,3.909090909090909,0.09090909090909091,38.40909090909091,0,2,3,0,17,0
2022,25,20,121.45,6.4,0.4,9.85,3.85,3.85,0.0,38.65,0,2,0,2,16,0
2022,26,20,107.6,4.6,0.25,11.3,3.2,3.9,0.0,37.75,0,0,2,2,16,0
2022,27,20,100.2,7.85,0.6,9.55,3.6,3.75,0.05,41.7,0,0,3,0,17,0
2022,28,31,118.6774193548387,9.935483870967742,0.2903225806451613,10.32258064516129,3.6774193548387095,3.7419354838709675,0.0,44.45161290322581,0,0,3,0,28,0
2022,29,10,111.9,3.8,0.7,9.8,3.3,4.0,0.0,36.9,0,0,3,0,7,0
2022,30,26,108.6923076923077,4.1923076923076925,0.5769230769230769,10.73076923076923,3.6153846153846154,3.8846153846153846,0.0,36.92307692307692,0,0,4,1,20,1
2022,31,18,82.44444444444444,6.833333333333333,0.3888888888888889,11.833333333333334,3.388888888888889,3.111111111111111,0.0,38.94444444444444,0,2,4,1,11,0
2022,32,24,126.91666666666667,8.041666666666666,0.625,10.166666666666666,3.5,3.4166666666666665,0.0,42.333333333333336,0,1,4,1,16,2
2022,33,43,114.13953488372093,7.3023255813953485,0.4418604651162791,11.372093023255815,3.7209302325581395,3.7674418604651163,0.0,39.325581395348834,0,1,1,0,41,0
2022,34,22,128.54545454545453,5.545454545454546,0.6818181818181818,10.454545454545455,4.181818181818182,4.136363636363637,0.045454545454545456,34.81818181818182,0,1,0,0,21,0
2022,35,49,90.12244897959184,4.8979591836734695,0.8775510204081632,11.73469387755102,4.020408163265306,4.387755102040816,0.1836734693877551,36.83673469387755,9,1,0,0,39,0
2022,36,28,90.10714285714286,6.321428571428571,0.42857142857142855,13.0,3.0,3.7142857142857144,0.0,37.035714285714285,0,0,0,0,28,0
2022,37,46,108.71739130434783,6.043478260869565,0.5,12.608695652173912,3.4782608695652173,4.065217391304348,0.043478260869565216,37.28260869565217,2,0,1,0,43,0
2022,38,58,90.32758620689656,6.948275862068965,0.4827586206896552,10.620689655172415,3.103448275862069,3.6379310344827585,0.034482758620689655,39.12068965517241,0,0,5,2,48,3
2022,39,89,69.40449438202248,27.775280898876403,1.404494382022472,17.213483146067414,5.269662921348314,5.730337078651686,0.5955056179775281,29.786516853932586,56,0,2,1,28,2
2022,40,34,108.52941176470588,10.882352941176471,0.4411764705882353,7.852941176470588,3.7058823529411766,3.6176470588235294,0.0,41.35294117647059,1,1,0,1,31,0
2022,41,36,123.38888888888889,6.0,0.4722222222222222,8.222222222222221,3.1944444444444446,3.611111111111111,0.0,37.77777777777778,0,1,0,2,27,6
2022,42,46,99.67391304347827,6.6521739130434785,0.3695652173913043,7.6521739130434785,3.217391304347826,3.608695652173913,0.0,41.891304347826086,2,2,0,0,40,2
2022,43,30,127.5,6.166666666666667,0.6333333333333333,5.466666666666667,3.2666666666666666,3.6333333333333333,0.0,39.733333333333334,0,2,1,0,24,3
2022,44,36,118.52777777777777,6.833333333333333,0.4444444444444444,9.86111111111111,3.5833333333333335,4.0,0.05555555555555555,40.111111111111114,2,1,0,1,29,3
2022,45,40,100.5,8.375,0.65,7.225,3.225,3.725,0.025,39.525,2,0,0,0,34,4
2022,46,43,110.37209302325581,5.3023255813953485,0.5348837209302325,9.837209302325581,3.372093023255814,3.8372093023255816,0.046511627906976744,38.02325581395349,1,0,0,0,34,8
2022,47,36,114.30555555555556,5.333333333333333,0.5555555555555556,9.583333333333334,2.9444444444444446,3.7777777777777777,0.0,34.111111111111114,0,0,0,0,31,5
2022,48,48,93.89583333333333,4.979166666666667,0.4583333333333333,9.4375,3.375,3.3541666666666665,0.0,39.25,4,1,0,0,35,8
2022,49,55,122.23636363636363,6.4,0.5272727272727272,9.418181818181818,3.1454545454545455,3.672727272727273,0.0,39.6,2,0,0,0,47,6
2022,50,28,123.82142857142857,6.178571428571429,0.5357142857142857,8.285714285714286,3.107142857142857,3.5714285714285716,0.03571428571428571,38.607142857142854,0,0,0,0,24,4
2022,51,35,105.68571428571428,8.371428571428572,0.7142857142857143,11.028571428571428,3.7142857142857144,4.314285714285714,0.17142857142857143,36.6,6,1,0,1,25,2
2022,52,24,134.41666666666666,7.75,1.4166666666666667,17.041666666666668,4.958333333333333,5.791666666666667,0.625,26.916666666666668,15,1,0,0,7,1
2023,1,63,104.87301587301587,8.841269841269842,0.42857142857142855,7.984126984126984,3.380952380952381,3.8095238095238093,0.0,37.55555555555556,5,4,1,0,47,6
2023,2,38,108.86842105263158,6.447368421052632,0.5263157894736842,12.052631578947368,3.473684210526316,3.8157894736842106,0.07894736842105263,38.921052631578945,1,3,2,3,26,3
2023,3,45,107.33333333333333,4.5777777777777775,0.5333333333333333,8.244444444444444,2.977777777777778,3.6444444444444444,0.0,42.22222222222222,1,3,0,1,37,3
2023,4,44,110.18181818181819,5.840909090909091,0.5454545454545454,9.204545454545455,3.3181818181818183,3.6818181818181817,0.0,36.95454545454545,1,1,0,0,37,5
2023,5,39,93.76923076923077,9.256410256410257,0.7692307692307693,12.35897435897436,4.076923076923077,4.358974358974359,0.20512820512820512,34.666666666666664,9,0,0,1,28,1
2023,6,40,121.8,6.6,0.5,10.6,3.35,3.625,0.0,35.975,0,2,0,1,34,3
2023,7,47,110.14893617021276,7.382978723404255,0.574468085106383,9.936170212765957,3.3404255319148937,3.8085106382978724,0.02127659574468085,41.808510638297875,1,3,0,1,40,2
