Fitur,Encoded Value,Original Label
Kelurahan,0,ADANG JAYA
Kelurahan,1,AIR HITAM
Kelurahan,2,AIR PUTIH
Kelurahan,3,AMBARAWANG DARAT
Kelurahan,4,AMBARAWANG LAUT
Kelurahan,5,AMBORAWANG DARAT
Kelurahan,6,AMBORAWANG LAUT
Kelurahan,7,ANGGANA
Kelurahan,8,API API
Kelurahan,9,API-API
Kelurahan,10,API-API 
Kelurahan,11,ARGO MULYO
Kelurahan,12,ARGO SARI
Kelurahan,13,BABULU DARAT
Kelurahan,14,BABULU LAUT
Kelurahan,15,BANDARA
Kelurahan,16,BANGUN MULYA
Kelurahan,17,BAQA
Kelurahan,18,BARU ILIR
Kelurahan,19,BARU ILIR 
Kelurahan,20,BARU TENGAH
Kelurahan,21,BARU TENGAH 
Kelurahan,22,BARU ULU
Kelurahan,23,BATU AMPAR
Kelurahan,24,BATU BUTOK
Kelurahan,25,BATU KAJANG
Kelurahan,26,BATUAH
Kelurahan,27,BELIMBING RAYA
Kelurahan,28,BENTE TUALAN
Kelurahan,29,BERBAS TENGAH
Kelurahan,30,BERINGIN AGUNG
Kelurahan,31,BINUANG 
Kelurahan,32,BONTANG KUALA
Kelurahan,33,BUKIT MERDEKA
Kelurahan,34,BUKIT RAYA
Kelurahan,35,BUKIT SUBUR
Kelurahan,36,BUKIT SUBUR 
Kelurahan,37,BULU MINUNG
Kelurahan,38,BULUMINUNG
Kelurahan,39,BUMI HARAPAN
Kelurahan,40,BUNYU TIMUR
Kelurahan,41,DAMAI
Kelurahan,42,DAMAI 
Kelurahan,43,DAMAI BAHAGIA
Kelurahan,44,DAMAI BAHAGIA 
Kelurahan,45,DAMAI BARU
Kelurahan,46,DAMAI BARU 
Kelurahan,47,DATAH BILANG BARU
Kelurahan,48,DONDANG
Kelurahan,49,GERSIK
Kelurahan,50,GIRI MUKTI
Kelurahan,51,GRAHA INDAH
Kelurahan,52,GRAHA INDAH 
Kelurahan,53,GUNUNG BAHAGIA
Kelurahan,54,GUNUNG ELAI
Kelurahan,55,GUNUNG INTAN
Kelurahan,56,GUNUNG KELUA
Kelurahan,57,GUNUNG MAKMUR
Kelurahan,58,GUNUNG MULIA
Kelurahan,59,GUNUNG SAMARINDA
Kelurahan,60,GUNUNG SARI ILIR
Kelurahan,61,GUNUNG SARI ULU
Kelurahan,62,GUNUNG SETELENG
Kelurahan,63,GUNUNGBAHAGIA
Kelurahan,64,GUNUNGBAHAGIA 
Kelurahan,65,GUNUNGSAMARINDA
Kelurahan,66,GUNUNGSAMARINDA 
Kelurahan,67,GUNUNGSAMARINDA BARU
Kelurahan,68,GUNUNGSAMARINDA BARU 
Kelurahan,69,GUNUNGSARI ILIR
Kelurahan,70,GUNUNGSARI ILIR 
Kelurahan,71,GUNUNGSARI ULU
Kelurahan,72,GUNUNGSARI ULU 
Kelurahan,73,HANDIL BAKTI
Kelurahan,74,HANDIL BARU
Kelurahan,75,INARAN
Kelurahan,76,JEMPARING
Kelurahan,77,JENEBORA
Kelurahan,78,JONE
Kelurahan,79,KALIORANG
Kelurahan,80,KAMPUNG BARU
Kelurahan,81,KAMPUNG LAMA
Kelurahan,82,KARANG ANYAR 
Kelurahan,83,KARANG ANYAR PANTAI
Kelurahan,84,KARANG ASAM ULU
Kelurahan,85,KARANG JATI
Kelurahan,86,KARANG JOANG
Kelurahan,87,KARANG JOANG 
Kelurahan,88,KARANG REJO
Kelurahan,89,KARANG REJO 
Kelurahan,90,KARANG TUNGGAL
Kelurahan,91,KARIANGAU
Kelurahan,92,KARIANGAU 
Kelurahan,93,KARYA JAYA
Kelurahan,94,KARYA MERDEKA
Kelurahan,95,KAYUNGO SARI
Kelurahan,96,KELADEN
Kelurahan,97,KERANG DAYO
Kelurahan,98,KLANDASAN ILIR
Kelurahan,99,KLANDASAN ILIR 
Kelurahan,100,KLANDASAN ULU
Kelurahan,101,KLANDASAN ULU 
Kelurahan,102,KLEMPANG SARI
Kelurahan,103,KRAYAN SENTOSA
