"(p,q,P,Q)",AIC
"(0, 1, 0, 0)",183.81036099836942
"(2, 3, 0, 0)",184.6216761701425
"(0, 2, 0, 0)",185.73614991722079
"(1, 1, 0, 0)",185.74544884026218
"(4, 3, 0, 0)",185.82975569089223
"(5, 3, 0, 0)",186.32085737399154
"(2, 5, 0, 0)",186.69760294206293
"(1, 2, 0, 0)",186.9896657288128
"(0, 3, 0, 0)",187.19320155398432
"(3, 4, 0, 0)",187.29415820821134
"(2, 1, 0, 0)",187.35556872633293
"(2, 7, 0, 0)",187.81299476260767
"(3, 6, 0, 0)",187.88317896783568
"(2, 4, 0, 0)",187.99028821472103
"(0, 12, 0, 0)",187.99288294373545
"(6, 6, 0, 0)",188.0410803855987
"(3, 3, 0, 0)",188.17612627264091
"(5, 4, 0, 0)",188.2537772832256
"(3, 1, 0, 0)",188.27538874386008
"(0, 4, 0, 0)",188.29790087956636
"(1, 3, 0, 0)",188.64307052502764
"(2, 2, 0, 0)",188.6720832869397
"(12, 2, 0, 0)",188.9076866641932
"(0, 5, 0, 0)",189.2040977222009
"(10, 8, 0, 0)",189.23074158762267
"(4, 1, 0, 0)",189.50662424010184
"(1, 11, 0, 0)",189.84186711359936
"(10, 6, 0, 0)",189.84973324821257
"(2, 11, 0, 0)",189.96539844943007
"(3, 2, 0, 0)",189.9746460044065
"(12, 1, 0, 0)",190.12189559899366
"(4, 6, 0, 0)",190.1356583969167
"(1, 12, 0, 0)",190.1901994024367
"(2, 12, 0, 0)",190.29551964480896
"(6, 4, 0, 0)",190.3149945478555
"(12, 3, 0, 0)",190.37497226433564
"(2, 8, 0, 0)",190.4072764643757
"(1, 5, 0, 0)",190.42586533876326
"(1, 4, 0, 0)",190.43273600278997
"(3, 5, 0, 0)",190.55462944873736
"(4, 2, 0, 0)",190.59294687379983
"(5, 5, 0, 0)",190.60381251979615
"(4, 4, 0, 0)",190.6768201534233
"(0, 6, 0, 0)",190.8831759333454
"(3, 8, 0, 0)",190.90038478268323
"(5, 1, 0, 0)",190.90686562263713
"(7, 3, 0, 0)",191.11132987019727
"(12, 4, 0, 0)",191.1217956283693
"(3, 11, 0, 0)",191.54917985287057
"(11, 6, 0, 0)",191.65943910235274
"(4, 8, 0, 0)",191.66834976981093
"(10, 1, 0, 0)",192.01775031999304
"(2, 9, 0, 0)",192.04850499901102
"(8, 3, 0, 0)",192.18092198486434
"(7, 4, 0, 0)",192.19814995864402
"(7, 6, 0, 0)",192.20728101091444
"(0, 7, 0, 0)",192.2541828111125
"(4, 7, 0, 0)",192.2997171681145
"(5, 2, 0, 0)",192.49177292676416
"(5, 6, 0, 0)",192.59729950372667
"(1, 6, 0, 0)",192.6943584311217
"(10, 7, 0, 0)",192.7421972521872
"(10, 2, 0, 0)",192.74367750945478
"(6, 1, 0, 0)",192.86631141817296
"(5, 7, 0, 0)",192.98425246092472
"(4, 5, 0, 0)",192.9929232621583
"(0, 11, 0, 0)",193.1331875009606
"(6, 5, 0, 0)",193.16892238346406
"(7, 5, 0, 0)",193.2299239172417
"(9, 4, 0, 0)",193.24332886273405
"(4, 12, 0, 0)",193.52659103098037
"(12, 0, 0, 0)",193.6089816477903
"(12, 8, 0, 0)",193.66800533737282
"(0, 10, 0, 0)",193.73745788108948
"(0, 8, 0, 0)",193.77465325673342
"(2, 10, 0, 0)",193.80712555531449
"(11, 1, 0, 0)",193.81926103875915
"(2, 6, 0, 0)",193.96241833324186
"(3, 12, 0, 0)",193.96649846715368
"(7, 2, 0, 0)",193.9939563163753
"(8, 4, 0, 0)",194.04942791975685
"(3, 7, 0, 0)",194.067987007898
"(1, 7, 0, 0)",194.09846948919892
"(6, 2, 0, 0)",194.21458198031522
"(7, 1, 0, 0)",194.35530185598807
"(9, 5, 0, 0)",194.48441182583426
