"(p,q,P,Q)",AIC
"(0, 1, 0, 1)",192.11163411355162
"(0, 1, 0, 2)",193.37449876779988
"(0, 1, 1, 1)",193.38699949847086
"(0, 2, 0, 1)",193.40141360590945
"(1, 1, 0, 1)",193.4972467699271
"(2, 3, 0, 1)",193.5696754714091
"(0, 1, 2, 0)",193.71154932203714
"(1, 2, 0, 2)",194.12448984807338
"(1, 2, 1, 1)",194.1555524124337
"(3, 3, 0, 1)",194.2306178170794
"(0, 2, 1, 1)",194.67920706321553
"(1, 2, 0, 1)",194.6869400756425
"(0, 2, 0, 2)",194.6923142082053
"(1, 1, 1, 1)",194.7489557414724
"(2, 3, 1, 1)",194.74956726195586
"(1, 1, 0, 2)",194.76132771982535
"(0, 3, 0, 1)",194.7657364691196
"(1, 3, 0, 1)",194.88157245897548
"(2, 3, 0, 2)",194.99081381975333
"(0, 2, 2, 0)",195.05091087973614
"(1, 1, 2, 0)",195.11410477283664
"(1, 2, 2, 0)",195.1218156253022
"(2, 1, 0, 1)",195.1856977897389
"(0, 1, 2, 1)",195.26823568792548
"(0, 1, 0, 3)",195.3434870537284
"(0, 1, 1, 2)",195.39874448350258
"(0, 1, 3, 0)",195.44018617523776
"(2, 3, 2, 0)",195.4840529661884
"(0, 1, 2, 2)",195.49198701779113
"(2, 3, 1, 0)",195.53504432644797
"(2, 2, 0, 1)",195.53925060445576
"(2, 3, 0, 3)",195.98978845979735
"(1, 3, 0, 2)",195.9973369446637
"(1, 2, 2, 2)",196.00735259932242
"(1, 3, 1, 1)",196.0424183164059
"(1, 2, 2, 1)",196.0645137044928
"(1, 2, 0, 3)",196.11808974927192
"(0, 1, 1, 3)",196.1875261818693
"(2, 3, 2, 1)",196.203069295472
"(3, 1, 0, 1)",196.24454070083564
"(0, 3, 0, 2)",196.27491044517117
"(0, 3, 1, 1)",196.2765783447978
"(1, 2, 1, 3)",196.4110638176368
"(2, 1, 1, 1)",196.58763338477127
"(1, 2, 3, 0)",196.58818548658763
"(2, 1, 0, 2)",196.5922139073598
"(0, 2, 0, 3)",196.6346676733402
"(0, 2, 2, 1)",196.63662442692265
"(2, 3, 1, 2)",196.63843283035214
"(0, 2, 1, 2)",196.66994430329706
"(2, 2, 1, 1)",196.68928632295322
"(0, 3, 2, 0)",196.6932038059877
"(1, 1, 2, 1)",196.70018270787406
"(1, 1, 0, 3)",196.70217308323365
"(2, 2, 0, 2)",196.70524897376308
"(1, 1, 1, 2)",196.73840600582662
"(3, 3, 2, 0)",196.84672013314545
"(0, 2, 3, 0)",196.8542151007861
"(0, 2, 2, 2)",196.88086886921224
"(0, 1, 3, 1)",196.88305389568026
"(1, 1, 3, 0)",196.91182309757394
"(0, 1, 1, 0)",196.92330373385153
"(2, 2, 2, 0)",196.95973515128847
"(2, 1, 2, 0)",196.9601750658854
"(1, 3, 2, 0)",197.03056817948328
"(3, 3, 1, 0)",197.22210564363473
"(3, 3, 3, 0)",197.29266562038896
"(0, 2, 1, 3)",197.3317940214419
"(0, 1, 3, 2)",197.36399430276194
"(1, 1, 2, 2)",197.370340785303
"(2, 3, 3, 0)",197.3830389392728
"(1, 1, 1, 3)",197.40208161576558
"(0, 1, 2, 3)",197.4986755106553
"(3, 2, 0, 1)",197.53841660430777
"(2, 3, 2, 2)",197.5694697124796
"(0, 2, 1, 0)",197.6116068312473
"(1, 3, 2, 2)",197.6984245689506
"(3, 1, 0, 2)",197.70546148223272
"(3, 1, 1, 1)",197.73922357631855
"(1, 1, 1, 0)",197.76203114828914
"(1, 3, 2, 1)",197.91272290681414
"(3, 3, 0, 2)",197.91748759098405
"(1, 3, 0, 3)",197.99342456221396
"(1, 3, 1, 2)",197.99553680177868
"(3, 1, 2, 0)",198.03326563538252
"(1, 2, 3, 1)",198.05443483376214
"(1, 2, 1, 2)",198.09854505960976
"(2, 3, 3, 2)",198.09895326821234
"(2, 3, 1, 3)",198.15826351180627
"(3, 3, 1, 1)",198.18427141552974
"(0, 3, 2, 1)",198.235851909936
"(0, 3, 0, 3)",198.2545866809132
"(0, 3, 1, 2)",198.26754394258404
"(0, 2, 3, 1)",198.2953652953012
"(2, 1, 1, 2)",198.30629304961926
"(1, 1, 3, 1)",198.35141643661206
"(2, 3, 3, 1)",198.37409772961806
"(1, 3, 3, 0)",198.42762530476864
"(0, 3, 3, 0)",198.47476311454255
"(1, 2, 1, 0)",198.4882345773667
"(2, 1, 2, 1)",198.54151437155298
"(2, 1, 0, 3)",198.55340227199002
"(3, 3, 1, 3)",198.62446836207923
"(3, 2, 1, 1)",198.68796428941835
"(3, 2, 0, 2)",198.69883072333684
"(2, 1, 2, 2)",198.7014803470131
"(2, 1, 3, 0)",198.75606681531147
"(1, 1, 3, 2)",198.76866631023123
"(2, 2, 3, 0)",198.82280798289872
"(2, 2, 0, 3)",198.95543863876904
"(3, 2, 2, 0)",198.96330685766654
"(2, 2, 2, 2)",198.9847233678238
"(2, 2, 1, 0)",198.98879584713995
"(2, 2, 1, 2)",199.0363734556161
"(2, 2, 2, 1)",199.03918334608275
"(0, 3, 2, 2)",199.09954733123715
"(2, 1, 1, 3)",199.1073263080543
"(0, 3, 1, 0)",199.14017425883262
"(1, 1, 2, 3)",199.15918546113704
"(0, 2, 2, 3)",199.31328112789194
"(3, 3, 2, 1)",199.31407899018433
"(3, 1, 1, 2)",199.3201180708007
"(0, 2, 3, 2)",199.3383737311189
"(3, 3, 0, 3)",199.37097068432723
"(0, 1, 3, 3)",199.42926631750797
"(2, 1, 1, 0)",199.49067233075493
"(3, 1, 2, 1)",199.5781739932908
"(3, 1, 0, 3)",199.70506947799035
"(1, 3, 3, 1)",199.7078483874993
"(3, 1, 3, 0)",199.75098065097458
"(2, 3, 3, 3)",199.75871415224614
"(3, 1, 2, 2)",199.8327272892739
"(2, 2, 1, 3)",199.86171697755591
"(3, 3, 1, 2)",199.9302893072204
"(1, 3, 1, 3)",199.9312733653846
"(2, 3, 2, 3)",200.12193706063573
"(3, 1, 1, 3)",200.12379969201197
"(0, 3, 1, 3)",200.1815847671574
