"(p,q,P,Q)",AIC
"(2, 1, 0, 0)",4132.181294634685
"(1, 2, 0, 0)",4132.451807276667
"(3, 3, 0, 0)",4132.59691692928
"(4, 3, 0, 0)",4133.067270650936
"(3, 4, 0, 0)",4133.1912733906975
"(6, 3, 0, 0)",4133.424077098773
"(1, 3, 0, 0)",4133.629902433081
"(3, 6, 0, 0)",4133.655992197207
"(3, 1, 0, 0)",4133.892170435591
"(3, 5, 0, 0)",4133.8996109808195
"(1, 7, 0, 0)",4134.036385619968
"(7, 1, 0, 0)",4134.120275569629
"(6, 5, 0, 0)",4134.5632130878685
"(4, 1, 0, 0)",4134.634533715557
"(1, 4, 0, 0)",4134.99563492047
"(8, 1, 0, 0)",4135.034332439832
"(10, 3, 0, 0)",4135.077133143677
"(3, 2, 0, 0)",4135.10609102834
"(1, 8, 0, 0)",4135.1760946706545
"(2, 3, 0, 0)",4135.328317031446
"(1, 1, 0, 0)",4135.555490844941
"(3, 7, 0, 0)",4135.7505945724815
"(7, 3, 0, 0)",4135.7542077867965
"(2, 7, 0, 0)",4135.9336726069905
"(3, 10, 0, 0)",4136.044954557802
"(5, 1, 0, 0)",4136.449107701185
"(1, 6, 0, 0)",4136.483441209279
"(9, 3, 0, 0)",4136.548180233036
"(2, 6, 0, 0)",4136.842866470039
"(1, 5, 0, 0)",4136.850196244333
"(2, 4, 0, 0)",4136.866219719507
"(7, 7, 0, 0)",4136.86766950389
"(9, 1, 0, 0)",4136.977955710781
"(4, 2, 0, 0)",4137.022049323334
"(5, 6, 0, 0)",4137.23498456798
"(6, 6, 0, 0)",4137.2915695768625
"(4, 10, 0, 0)",4137.349967872857
"(3, 11, 0, 0)",4137.369056488644
"(6, 1, 0, 0)",4137.429525446065
"(8, 5, 0, 0)",4137.467639486358
"(3, 8, 0, 0)",4137.543742779882
"(4, 7, 0, 0)",4137.552622377879
"(8, 3, 0, 0)",4137.578982090246
"(1, 9, 0, 0)",4137.5836947517155
"(4, 4, 0, 0)",4138.002689869962
"(2, 8, 0, 0)",4138.026251275388
"(6, 7, 0, 0)",4138.077270153598
"(10, 4, 0, 0)",4138.085982777512
"(8, 2, 0, 0)",4138.1047638529035
"(5, 2, 0, 0)",4138.189733297244
"(2, 5, 0, 0)",4138.461111588462
"(10, 1, 0, 0)",4138.805399723453
"(9, 2, 0, 0)",4138.948808317483
"(3, 9, 0, 0)",4138.963731553611
"(11, 3, 0, 0)",4139.0680991133395
"(1, 10, 0, 0)",4139.100000331311
"(2, 9, 0, 0)",4139.113265250251
"(7, 5, 0, 0)",4139.227281521651
"(5, 5, 0, 0)",4139.266338738784
"(2, 2, 0, 0)",4139.319715073773
"(1, 11, 0, 0)",4139.472680022347
"(7, 6, 0, 0)",4139.542417870453
"(11, 5, 0, 0)",4139.616982833001
"(6, 2, 0, 0)",4139.792460556611
"(11, 1, 0, 0)",4139.821379709001
"(4, 11, 0, 0)",4140.237039510491
"(9, 7, 0, 0)",4140.361847621327
"(5, 3, 0, 0)",4140.445782924249
"(5, 8, 0, 0)",4140.475338720747
"(5, 9, 0, 0)",4140.7444356629785
"(5, 7, 0, 0)",4140.783596913287
"(10, 2, 0, 0)",4140.837405776139
"(7, 2, 0, 0)",4141.08807913707
"(2, 10, 0, 0)",4141.092814982008
"(1, 12, 0, 0)",4141.108800255198
"(7, 8, 0, 0)",4141.124438175409
"(7, 9, 0, 0)",4141.171745044014
"(11, 4, 0, 0)",4141.308380571799
"(12, 1, 0, 0)",4141.377251802557
"(7, 4, 0, 0)",4141.383322888726
"(10, 7, 0, 0)",4141.645656611816
"(2, 12, 0, 0)",4141.657817025818
"(9, 5, 0, 0)",4141.803099647203
"(8, 7, 0, 0)",4141.931556653263
"(8, 8, 0, 0)",4142.169697467372
"(6, 9, 0, 0)",4142.378059250071
"(6, 8, 0, 0)",4142.383706564745
"(10, 5, 0, 0)",4142.430682945748
"(11, 2, 0, 0)",4142.60930526941
"(5, 4, 0, 0)",4142.667358339617
"(12, 3, 0, 0)",4142.703728064804
"(4, 5, 0, 0)",4142.789348574621
"(11, 12, 0, 0)",4142.825196217151
"(8, 6, 0, 0)",4142.859811164481
"(4, 12, 0, 0)",4142.914944347798
"(3, 12, 0, 0)",4142.978742027801
"(2, 11, 0, 0)",4143.007442048527
"(5, 10, 0, 0)",4143.014799886815
"(9, 8, 0, 0)",4143.3052325095105
"(12, 2, 0, 0)",4143.31558382577
"(8, 9, 0, 0)",4143.352676067216
"(6, 4, 0, 0)",4143.466159368297
"(6, 12, 0, 0)",4143.537814197411
"(6, 10, 0, 0)",4143.837786626925
"(11, 8, 0, 0)",4143.905399633713
"(9, 6, 0, 0)",4144.133954846193
"(4, 6, 0, 0)",4144.5815976159465
"(12, 4, 0, 0)",4144.695447949311
"(12, 11, 0, 0)",4144.7056580750195
"(12, 6, 0, 0)",4144.766541370623
"(9, 4, 0, 0)",4144.908025998282
"(6, 11, 0, 0)",4145.008953093244
"(5, 11, 0, 0)",4145.090557187931
"(12, 5, 0, 0)",4145.1602503791355
"(9, 9, 0, 0)",4145.37474418563
"(10, 6, 0, 0)",4145.430032062092
"(10, 8, 0, 0)",4145.442019849613
"(11, 6, 0, 0)",4145.482248520296
"(8, 10, 0, 0)",4145.994321548546
"(8, 4, 0, 0)",4146.341955590655
"(7, 11, 0, 0)",4146.527387922119
"(12, 8, 0, 0)",4146.613411578737
"(11, 7, 0, 0)",4146.69352263802
"(11, 11, 0, 0)",4146.90696877717
"(4, 8, 0, 0)",4147.192464576408
