"(p,q,P,Q)",AIC
"(3, 2, 0, 3)",18.0
"(3, 3, 0, 1)",4482.760068261921
"(3, 3, 0, 3)",4487.857845453045
"(3, 3, 1, 3)",4489.077260049301
"(3, 3, 0, 2)",4492.0187380930865
"(3, 3, 1, 2)",4502.984987034899
"(2, 2, 3, 1)",4515.721161105583
"(2, 2, 0, 1)",4517.068575701195
"(2, 3, 0, 1)",4518.858523108655
"(2, 2, 0, 2)",4519.029195620749
"(2, 2, 1, 2)",4521.260399071492
"(2, 2, 1, 3)",4522.36166584822
"(2, 3, 0, 2)",4523.0672520695825
"(2, 3, 1, 2)",4523.81120815678
"(2, 2, 3, 2)",4525.922849823835
"(2, 3, 1, 3)",4526.174420841837
"(2, 2, 2, 3)",4526.775241192705
"(2, 3, 2, 2)",4526.955956514597
"(2, 2, 2, 2)",4528.9917106375815
"(2, 2, 0, 3)",4529.780069311074
"(2, 2, 1, 1)",4531.94927003867
"(2, 3, 0, 3)",4534.169587490052
"(2, 3, 2, 3)",4541.309248570276
"(3, 3, 3, 2)",4575.911554964219
"(2, 3, 3, 3)",4578.584324369558
"(3, 3, 1, 1)",4579.866755679097
"(3, 2, 0, 1)",4589.343952870991
"(3, 2, 0, 2)",4589.529642062911
"(3, 2, 1, 1)",4589.535657550479
"(2, 3, 1, 1)",4590.822075918472
"(3, 2, 1, 3)",4591.421179128332
"(3, 2, 2, 1)",4591.522837743938
"(3, 2, 2, 2)",4591.557066620642
"(3, 3, 3, 3)",4591.769914961374
"(3, 2, 1, 2)",4592.493942636565
"(2, 3, 2, 1)",4592.967055239132
"(3, 2, 3, 1)",4593.127747289987
"(3, 3, 2, 1)",4593.308997325751
"(3, 2, 3, 2)",4593.486883358658
"(2, 3, 3, 1)",4594.507684278755
"(3, 2, 3, 3)",4595.028940094537
"(3, 2, 2, 3)",4595.977430242783
"(3, 3, 3, 1)",4598.8893181283765
"(1, 3, 0, 1)",4600.6551739252445
"(1, 3, 1, 2)",4603.015412880652
"(1, 3, 1, 1)",4603.112417285066
"(1, 3, 0, 2)",4603.115981197545
"(3, 3, 2, 3)",4604.650283884139
"(1, 3, 2, 1)",4604.950740254295
"(1, 3, 0, 3)",4604.976861026562
"(1, 3, 2, 2)",4606.998474563982
"(1, 3, 1, 3)",4607.057755813291
"(1, 3, 3, 2)",4607.385172329863
"(1, 2, 0, 1)",4607.737584408678
"(1, 2, 0, 2)",4610.705687243484
"(1, 2, 1, 1)",4610.71298609106
"(1, 2, 1, 2)",4611.551295554938
"(1, 2, 2, 1)",4611.787380602887
"(1, 2, 0, 3)",4611.877230659729
"(1, 2, 2, 2)",4612.575607500656
"(1, 2, 1, 3)",4612.576860949397
"(1, 2, 2, 3)",4612.765238448901
"(1, 2, 3, 1)",4612.8424552259985
"(1, 2, 3, 2)",4612.997458203043
"(1, 2, 3, 3)",4614.25392386477
"(2, 2, 3, 3)",4617.31009829902
"(2, 1, 0, 2)",4626.430174864257
"(2, 1, 1, 1)",4626.5484464164865
"(2, 1, 0, 1)",4627.2593428441305
"(3, 1, 0, 2)",4627.717802399189
"(3, 1, 1, 1)",4627.835094968865
"(2, 1, 2, 1)",4628.152128293756
"(2, 1, 1, 2)",4628.333921928943
"(2, 1, 1, 3)",4628.452949759976
"(2, 1, 0, 3)",4628.87054729872
"(3, 1, 0, 1)",4629.0243368233
"(3, 1, 0, 3)",4629.602201964246
"(2, 1, 3, 1)",4630.041271404208
"(3, 1, 1, 3)",4630.180632289696
"(3, 1, 1, 2)",4630.238451897284
"(3, 1, 2, 1)",4630.2896252316295
"(2, 1, 2, 2)",4630.451009856848
"(3, 1, 3, 1)",4631.41668482481
"(3, 1, 2, 2)",4631.785865215808
"(2, 2, 2, 1)",4631.978757186951
"(2, 1, 3, 2)",4632.138891494522
"(2, 1, 2, 3)",4633.202803944951
"(3, 1, 3, 2)",4633.50604593232
"(1, 0, 0, 1)",4640.079442413308
"(0, 2, 0, 1)",4640.087273897114
"(2, 0, 0, 1)",4640.221003825366
"(0, 1, 0, 1)",4640.346717587538
"(0, 0, 0, 1)",4641.035680814119
"(1, 1, 0, 1)",4641.100058005899
"(1, 0, 1, 1)",4641.916850429371
"(1, 0, 0, 2)",4641.920219884138
"(0, 3, 0, 1)",4641.927097390143
"(3, 0, 0, 1)",4641.955958193266
"(0, 2, 1, 1)",4641.967349505929
"(0, 2, 0, 2)",4641.967689930254
"(2, 0, 1, 1)",4642.102851492553
"(2, 0, 0, 2)",4642.103268492514
"(0, 1, 1, 1)",4642.184369175746
"(0, 1, 0, 2)",4642.187875662466
"(0, 0, 1, 1)",4642.904619518515
"(0, 0, 0, 2)",4642.907053801907
"(1, 1, 1, 1)",4642.969227166286
"(1, 1, 0, 2)",4642.971057795857
"(0, 2, 2, 3)",4643.115471001621
"(2, 0, 2, 3)",4643.219729999908
"(0, 1, 2, 3)",4643.792261351437
"(0, 3, 1, 1)",4643.805196259962
"(0, 3, 0, 2)",4643.805352562039
"(3, 0, 1, 1)",4643.818205989368
"(3, 0, 0, 2)",4643.818373351141
"(2, 1, 3, 3)",4643.823224601063
"(1, 0, 0, 3)",4643.834700322008
"(1, 0, 2, 1)",4643.8398547803845
"(1, 0, 2, 3)",4643.856946719427
"(1, 0, 1, 2)",4643.902580156559
"(0, 2, 0, 3)",4643.965236538004
"(0, 2, 2, 1)",4643.966567287556
"(0, 0, 2, 3)",4643.997203355124
"(0, 2, 1, 2)",4644.0465529180865
"(0, 1, 0, 3)",4644.095151941558
"(2, 0, 0, 3)",4644.099794392482
"(0, 1, 2, 1)",4644.100020562448
"(2, 0, 2, 1)",4644.101407426902
"(0, 1, 1, 2)",4644.156976696597
"(2, 0, 1, 2)",4644.179369414648
"(1, 1, 2, 3)",4644.594360989915
"(0, 0, 0, 3)",4644.839630951994
"(0, 0, 1, 2)",4644.841191153814
"(0, 0, 2, 1)",4644.842456641532
"(1, 1, 0, 3)",4644.93128723126
"(1, 1, 2, 1)",4644.93579742556
"(1, 1, 1, 2)",4645.002955234249
"(0, 3, 2, 3)",4645.083475634745
"(3, 0, 2, 3)",4645.088091609529
"(1, 0, 3, 1)",4645.317725074638
"(0, 2, 3, 1)",4645.446409052975
"(2, 0, 3, 1)",4645.569255384578
"(0, 1, 3, 1)",4645.591533636951
"(1, 0, 3, 3)",4645.733596355389
"(0, 3, 0, 3)",4645.804539735513
"(0, 3, 2, 1)",4645.805162013597
"(3, 0, 0, 3)",4645.817544737614
"(3, 0, 2, 1)",4645.818181977613
"(1, 0, 2, 2)",4645.8766481063785
"(1, 0, 1, 3)",4645.879574312921
"(0, 2, 3, 3)",4645.884039720322
"(0, 3, 1, 2)",4645.88729380638
"(3, 0, 1, 2)",4645.910295281468
"(0, 2, 2, 2)",4645.965862118718
"(0, 2, 1, 3)",4645.965940270735
"(2, 0, 3, 3)",4645.971555676806
"(0, 1, 3, 3)",4646.0682801278435
"(2, 0, 2, 2)",4646.1017079805915
"(2, 0, 1, 3)",4646.101914929646
"(0, 1, 2, 2)",4646.135270760295
"(0, 1, 1, 3)",4646.138890229719
"(1, 1, 3, 3)",4646.27947876535
"(1, 1, 3, 1)",4646.382743085212
"(0, 0, 3, 1)",4646.456980771534
"(0, 0, 3, 3)",4646.829106989143
"(0, 0, 1, 3)",4646.831472689632
"(0, 0, 2, 2)",4646.832983576688
"(1, 1, 2, 2)",4646.960826544149
"(1, 1, 1, 3)",4646.962458539198
"(3, 1, 2, 3)",4647.089312055548
"(0, 3, 3, 1)",4647.299195087379
"(3, 0, 3, 1)",4647.308257694105
"(0, 3, 1, 3)",4647.8030437131
"(0, 3, 2, 2)",4647.803364611346
"(3, 0, 1, 3)",4647.815993196782
"(3, 0, 2, 2)",4647.8162170598425
"(1, 0, 3, 2)",4647.839246027341
"(0, 3, 3, 3)",4647.869268618972
"(3, 0, 3, 3)",4647.897670344224
"(0, 2, 3, 2)",4647.96105190614
"(2, 0, 3, 2)",4648.095656346395
"(0, 1, 3, 2)",4648.098250929118
"(1, 3, 2, 3)",4648.382354999889
"(0, 0, 3, 2)",4648.821564648189
"(1, 1, 3, 2)",4648.934487880881
"(1, 3, 3, 1)",4649.286533506036
"(0, 3, 3, 2)",4649.801304237668
