"(p,q,P,Q)",AIC
"(0, 2, 0, 0)",588.7038788845379
"(2, 3, 0, 0)",588.9647271156508
"(1, 1, 0, 0)",588.9819537301981
"(3, 3, 0, 0)",589.0661422275152
"(1, 3, 0, 0)",589.5795609553079
"(2, 4, 0, 0)",589.7472832138515
"(0, 1, 0, 0)",590.2185818703324
"(0, 3, 0, 0)",590.4793804276455
"(2, 1, 0, 0)",590.4945660230048
"(1, 2, 0, 0)",590.4948000872641
"(4, 3, 0, 0)",591.1610240498358
"(2, 5, 0, 0)",591.4355443352058
"(3, 4, 0, 0)",592.1322292621065
"(0, 4, 0, 0)",592.4779923066592
"(2, 2, 0, 0)",592.4807634602801
"(3, 1, 0, 0)",592.4854545299011
"(4, 4, 0, 0)",592.5002630070019
"(3, 2, 0, 0)",592.7362957309546
"(2, 6, 0, 0)",593.6837237226626
"(5, 3, 0, 0)",593.8407379406297
"(3, 5, 0, 0)",594.2462444142034
"(8, 4, 0, 0)",594.437036163253
"(4, 1, 0, 0)",594.4572363735399
"(0, 5, 0, 0)",594.4664237017291
"(8, 2, 0, 0)",594.4687028811352
"(1, 4, 0, 0)",594.4786646996976
"(1, 5, 0, 0)",594.7285455124745
"(9, 6, 0, 0)",594.9191597109501
"(9, 2, 0, 0)",596.2645305925528
"(5, 6, 0, 0)",596.3376805717071
"(0, 6, 0, 0)",596.4011296186331
"(5, 1, 0, 0)",596.4151027723383
"(9, 5, 0, 0)",596.4178020111348
"(5, 5, 0, 0)",596.4381042599464
"(4, 2, 0, 0)",596.4685339878665
"(6, 4, 0, 0)",597.1699630917227
"(9, 4, 0, 0)",597.6137748253568
"(11, 5, 0, 0)",597.7829281092469
"(4, 5, 0, 0)",597.7924903580422
"(6, 6, 0, 0)",597.9556083839896
"(10, 4, 0, 0)",598.2254106256391
"(7, 4, 0, 0)",598.2354576076236
"(0, 7, 0, 0)",598.2651960738597
"(1, 9, 0, 0)",598.3203614986206
"(6, 1, 0, 0)",598.3906264454859
"(6, 7, 0, 0)",598.4546613821452
"(5, 2, 0, 0)",598.4571105807697
"(1, 6, 0, 0)",598.4650702682163
"(2, 9, 0, 0)",598.477670572737
"(11, 8, 0, 0)",598.5613314422742
