"(p,q,P,Q)",AIC
"(0, 2, 1, 1)",582.1205590210618
"(0, 2, 0, 3)",582.136653108837
"(1, 1, 1, 1)",582.1723661444439
"(0, 2, 2, 1)",582.937343953853
"(1, 1, 2, 1)",583.0703780601667
"(0, 1, 1, 1)",583.2748404957672
"(0, 2, 0, 2)",583.4105248817093
"(1, 1, 0, 2)",583.4373836525126
"(0, 2, 1, 2)",583.6974932258422
"(1, 1, 1, 2)",583.785064965971
"(0, 2, 3, 1)",583.8172290105668
"(1, 1, 3, 1)",583.8822934464945
"(0, 1, 2, 1)",583.9609534034904
"(0, 2, 1, 3)",584.0687297514479
"(2, 1, 1, 1)",584.0949389771786
"(1, 2, 1, 1)",584.1187155446053
"(0, 3, 1, 1)",584.1190918101033
"(0, 3, 0, 3)",584.1316524207718
"(1, 2, 0, 3)",584.133457025531
"(1, 1, 1, 3)",584.1590245156353
"(0, 2, 3, 2)",584.3872739544388
"(0, 2, 2, 3)",584.5727100538589
"(0, 1, 1, 2)",584.7561987972379
"(1, 1, 2, 3)",584.8347519320143
"(1, 1, 3, 2)",584.8524126772386
"(2, 1, 2, 1)",584.8536607916701
"(0, 1, 0, 2)",584.8948905207175
"(0, 3, 2, 1)",584.9064053714691
"(0, 1, 3, 1)",585.0546669664595
"(0, 1, 1, 3)",585.2100711080926
"(0, 1, 2, 3)",585.3363315693629
"(1, 1, 0, 3)",585.3820100408354
"(2, 1, 0, 2)",585.387908025825
"(0, 3, 0, 2)",585.397732699384
"(0, 1, 3, 2)",585.4020019235402
"(1, 2, 0, 2)",585.4031752211074
"(0, 2, 0, 1)",585.504458864018
"(1, 1, 0, 1)",585.5543066279313
"(1, 3, 1, 1)",585.5687620620834
"(2, 3, 1, 1)",585.5753921274371
"(1, 1, 2, 2)",585.6428004926724
"(0, 2, 2, 2)",585.6541977708582
"(2, 1, 1, 2)",585.6562451381565
"(0, 3, 1, 2)",585.6940746819544
"(1, 2, 1, 2)",585.6974471279889
"(1, 3, 0, 3)",585.7965651177009
"(0, 3, 3, 1)",585.8166190752811
"(2, 2, 1, 1)",585.8648306801508
"(3, 1, 1, 1)",585.949900287752
"(2, 1, 3, 1)",585.9656012290745
"(0, 2, 3, 3)",585.9748323017127
"(1, 1, 3, 3)",585.9862663033603
"(2, 1, 1, 3)",586.0222386352051
