Tgl. Mohon,count,cumulative_sum
2021-01-04,2,2
2021-01-06,3,5
2021-01-07,1,6
2021-01-14,1,7
2021-01-21,1,8
2021-02-01,1,9
2021-02-11,1,10
2021-02-26,2,12
2021-02-27,1,13
2021-03-10,1,14
2021-03-12,23,37
2021-03-20,1,38
2021-04-10,1,39
2021-04-12,5,44
2021-04-16,1,45
2021-04-21,1,46
2021-04-23,1,47
2021-04-27,1,48
2021-05-03,1,49
2021-05-04,1,50
2021-05-17,1,51
2021-06-18,1,52
2021-06-24,1,53
2021-06-29,1,54
2021-07-09,1,55
2021-07-22,1,56
2021-08-10,2,58
2021-08-11,28,86
2021-08-14,2,88
2021-08-18,1,89
2021-08-25,1,90
2021-08-27,1,91
2021-08-28,1,92
2021-08-30,1,93
2021-09-08,2,95
2021-09-14,1,96
2021-09-21,1,97
2021-10-05,1,98
2021-10-07,1,99
2021-10-09,2,101
2021-10-25,1,102
2021-10-26,1,103
2021-11-17,2,105
2021-11-24,1,106
2021-11-26,1,107
2021-11-30,2,109
2021-12-17,1,110
2021-12-23,1,111
2022-01-05,1,112
2022-01-06,4,116
2022-01-10,1,117
2022-02-16,1,118
2022-02-18,6,124
2022-02-25,1,125
2022-02-27,1,126
2022-03-07,1,127
2022-03-10,1,128
2022-03-12,1,129
2022-03-14,1,130
2022-03-16,1,131
2022-03-24,1,132
2022-04-11,5,137
2022-04-20,1,138
2022-04-30,2,140
2022-05-18,1,141
2022-05-25,1,142
2022-08-31,8,150
2022-09-03,1,151
2022-09-15,1,152
2022-09-16,1,153
2022-09-27,1,154
2022-09-28,12,166
2022-09-29,11,177
2022-09-30,32,209
2022-10-07,1,210
2022-10-17,1,211
2022-10-21,1,212
2022-10-31,2,214
2022-11-11,1,215
2022-11-12,1,216
2022-11-14,1,217
2022-11-29,2,219
2022-12-01,1,220
2022-12-03,1,221
2022-12-07,1,222
2022-12-10,1,223
2022-12-20,6,229
2022-12-26,5,234
2022-12-27,5,239
2022-12-28,5,244
2023-01-04,2,246
2023-01-05,2,248
2023-01-06,1,249
2023-01-09,1,250
2023-01-21,1,251
2023-01-25,1,252
2023-01-30,1,253
2023-02-01,8,261
2023-02-15,1,262
2023-02-22,1,263
2023-02-28,2,265
2023-03-04,1,266
2023-03-06,1,267
2023-03-10,1,268
2023-03-13,1,269
2023-03-15,6,275
2023-03-17,2,277
2023-03-25,2,279
2023-04-01,1,280
2023-04-03,1,281
2023-04-04,1,282
2023-04-06,1,283
2023-04-27,1,284
2023-05-06,2,286
2023-05-29,2,288
2023-05-31,1,289
2023-06-05,12,301
2023-06-13,2,303
2023-06-16,1,304
2023-06-17,2,306
2023-06-20,1,307
2023-06-21,1,308
2023-06-23,1,309
2023-06-27,1,310
2023-06-28,1,311
2023-07-11,1,312
2023-07-12,1,313
2023-07-14,1,314
2023-07-20,23,337
2023-07-28,20,357
2023-08-14,1,358
2023-08-23,1,359
2023-08-31,1,360
2023-09-06,1,361
2023-09-16,1,362
2023-09-23,1,363
2023-09-29,1,364
2023-09-30,1,365
2023-10-09,1,366
2023-10-11,3,369
2023-10-24,1,370
2023-10-27,1,371
2023-11-04,2,373
2023-11-18,3,376
2023-11-22,1,377
2023-11-28,2,379
2023-12-04,1,380
2023-12-16,1,381
2023-12-30,1,382
2024-01-12,1,383
2024-02-08,2,385
2024-02-17,1,386
2024-02-22,1,387
2024-02-23,1,388
2024-02-24,1,389
2024-02-27,1,390
2024-03-01,2,392
2024-03-06,1,393
2024-03-08,1,394
2024-03-14,2,396
2024-03-26,1,397
2024-03-30,1,398
2024-04-27,1,399
2024-05-10,1,400
2024-05-22,4,404
2024-05-24,4,408
2024-05-25,4,412
2024-05-27,4,416
2024-05-28,3,419
2024-05-31,1,420
2024-06-05,1,421
2024-06-30,1,422
2024-07-12,1,423
2024-08-29,1,424
2024-08-31,2,426
