Tgl. Mohon,count,cumulative_sum
2021-01-07,1,1
2021-01-27,1,2
2021-01-28,1,3
2021-02-22,1,4
2021-03-23,1,5
2021-04-12,1,6
2021-04-26,1,7
2021-04-28,1,8
2021-05-17,1,9
2021-05-18,1,10
2021-05-19,1,11
2021-06-18,1,12
2021-06-24,1,13
2021-07-09,1,14
2021-07-28,2,16
2021-08-13,1,17
2021-09-10,1,18
2021-09-13,1,19
2021-09-16,1,20
2021-09-21,2,22
2021-10-11,1,23
2021-10-21,1,24
2021-11-17,1,25
2021-11-26,1,26
2022-01-04,2,28
2022-01-05,1,29
2022-01-07,1,30
2022-01-10,1,31
2022-01-12,1,32
2022-01-18,1,33
2022-02-08,1,34
2022-02-10,1,35
2022-02-18,35,70
2022-03-04,1,71
2022-03-07,1,72
2022-03-09,1,73
2022-03-22,1,74
2022-03-23,1,75
2022-03-24,1,76
2022-03-28,1,77
2022-03-31,1,78
2022-04-04,1,79
2022-04-06,1,80
2022-04-08,1,81
2022-04-13,1,82
2022-04-16,1,83
2022-04-20,1,84
2022-04-21,1,85
2022-04-28,1,86
2022-04-29,1,87
2022-05-30,2,89
2022-06-03,2,91
2022-06-13,1,92
2022-06-15,1,93
2022-06-20,2,95
2022-08-05,1,96
2022-08-06,1,97
2022-08-11,1,98
2022-08-18,1,99
2022-08-26,1,100
2022-09-03,1,101
2022-10-04,1,102
2022-10-15,1,103
2022-10-21,1,104
2022-10-22,1,105
2022-10-27,1,106
2022-10-28,1,107
2022-11-02,1,108
2022-11-30,1,109
2022-12-19,1,110
2022-12-31,1,111
2023-01-03,1,112
2023-01-05,1,113
2023-01-06,1,114
2023-01-07,1,115
2023-01-11,2,117
2023-01-12,1,118
2023-01-17,1,119
2023-01-18,1,120
2023-01-19,1,121
2023-01-28,1,122
2023-02-07,1,123
2023-02-11,1,124
2023-02-13,2,126
2023-02-17,1,127
2023-02-20,1,128
2023-02-27,4,132
2023-02-28,2,134
2023-03-14,1,135
2023-03-20,1,136
2023-03-21,1,137
2023-03-31,1,138
2023-04-15,1,139
2023-04-17,1,140
2023-05-03,1,141
2023-05-05,1,142
2023-05-08,1,143
2023-05-09,1,144
2023-05-11,2,146
2023-05-16,1,147
2023-05-27,1,148
2023-05-31,1,149
2023-06-13,1,150
2023-06-20,2,152
2023-06-24,1,153
2023-06-27,1,154
2023-06-28,1,155
2023-07-05,1,156
2023-08-02,1,157
2023-08-10,1,158
2023-08-15,1,159
2023-08-21,1,160
2023-09-02,1,161
2023-09-05,1,162
2023-09-14,1,163
2023-10-02,1,164
2023-10-20,1,165
2023-10-21,1,166
2023-10-23,1,167
2023-10-31,2,169
2023-11-15,1,170
2023-11-17,1,171
2023-11-20,1,172
2023-11-24,1,173
2023-12-06,1,174
2023-12-16,1,175
2024-01-06,1,176
2024-01-08,1,177
2024-01-11,2,179
2024-01-22,3,182
2024-01-23,1,183
2024-01-25,1,184
2024-01-29,1,185
2024-02-13,1,186
2024-02-22,1,187
2024-02-23,1,188
2024-03-15,1,189
2024-03-19,1,190
2024-03-25,1,191
2024-03-27,1,192
2024-04-05,1,193
2024-04-15,1,194
2024-04-17,1,195
2024-04-29,1,196
2024-04-30,2,198
2024-05-04,1,199
2024-05-07,1,200
2024-05-09,1,201
2024-05-10,1,202
2024-05-16,1,203
2024-05-24,1,204
2024-05-25,2,206
2024-05-29,2,208
2024-06-04,3,211
2024-06-05,1,212
2024-06-11,2,214
2024-06-12,1,215
2024-06-18,1,216
2024-06-24,1,217
2024-06-26,1,218
2024-06-30,1,219
2024-07-05,1,220
2024-07-06,2,222
2024-07-09,1,223
2024-07-13,1,224
2024-07-16,1,225
2024-07-17,1,226
2024-07-26,3,229
2024-07-27,1,230
2024-07-31,1,231
2024-08-05,1,232
2024-08-21,1,233
2024-08-22,1,234
2024-08-23,1,235
2024-08-24,1,236
2024-08-29,1,237
