Tgl. Mohon,count,cumulative_sum
2021-01-11,1,1
2021-01-18,0,1
2021-01-25,0,1
2021-02-01,2,3
2021-02-08,0,3
2021-02-15,0,3
2021-02-22,1,4
2021-03-01,0,4
2021-03-08,0,4
2021-03-15,0,4
2021-03-22,0,4
2021-03-29,1,5
2021-04-05,0,5
2021-04-12,1,6
2021-04-19,0,6
2021-04-26,1,7
2021-05-03,1,8
2021-05-10,0,8
2021-05-17,1,9
2021-05-24,2,11
2021-05-31,0,11
2021-06-07,0,11
2021-06-14,0,11
2021-06-21,1,12
2021-06-28,1,13
2021-07-05,0,13
2021-07-12,1,14
2021-07-19,0,14
2021-07-26,0,14
2021-08-02,2,16
2021-08-09,0,16
2021-08-16,1,17
2021-08-23,0,17
2021-08-30,0,17
2021-09-06,0,17
2021-09-13,2,19
2021-09-20,1,20
2021-09-27,2,22
2021-10-04,0,22
2021-10-11,1,23
2021-10-18,0,23
2021-10-25,1,24
2021-11-01,0,24
2021-11-08,0,24
2021-11-15,0,24
2021-11-22,1,25
2021-11-29,1,26
2021-12-06,0,26
2021-12-13,0,26
2021-12-20,0,26
2021-12-27,0,26
2022-01-03,0,26
2022-01-10,5,31
2022-01-17,1,32
2022-01-24,1,33
2022-01-31,0,33
2022-02-07,0,33
2022-02-14,2,35
2022-02-21,35,70
2022-02-28,0,70
2022-03-07,2,72
2022-03-14,1,73
2022-03-21,0,73
2022-03-28,4,77
2022-04-04,2,79
2022-04-11,2,81
2022-04-18,2,83
2022-04-25,2,85
2022-05-02,2,87
2022-05-09,0,87
2022-05-16,0,87
2022-05-23,0,87
2022-05-30,2,89
2022-06-06,2,91
2022-06-13,1,92
2022-06-20,3,95
2022-06-27,0,95
2022-07-04,0,95
2022-07-11,0,95
2022-07-18,0,95
2022-07-25,0,95
2022-08-01,0,95
2022-08-08,2,97
2022-08-15,1,98
2022-08-22,1,99
2022-08-29,1,100
2022-09-05,1,101
2022-09-12,0,101
2022-09-19,0,101
2022-09-26,0,101
2022-10-03,0,101
2022-10-10,1,102
2022-10-17,1,103
2022-10-24,2,105
2022-10-31,2,107
2022-11-07,1,108
2022-11-14,0,108
2022-11-21,0,108
2022-11-28,0,108
2022-12-05,1,109
2022-12-12,0,109
2022-12-19,1,110
2022-12-26,0,110
2023-01-02,1,111
2023-01-09,4,115
2023-01-16,3,118
2023-01-23,3,121
2023-01-30,1,122
2023-02-06,0,122
2023-02-13,4,126
2023-02-20,2,128
2023-02-27,4,132
2023-03-06,2,134
2023-03-13,0,134
2023-03-20,2,136
2023-03-27,1,137
2023-04-03,1,138
2023-04-10,0,138
2023-04-17,2,140
2023-04-24,0,140
2023-05-01,0,140
2023-05-08,3,143
2023-05-15,3,146
2023-05-22,1,147
2023-05-29,1,148
2023-06-05,1,149
2023-06-12,0,149
2023-06-19,1,150
2023-06-26,3,153
2023-07-03,2,155
2023-07-10,1,156
2023-07-17,0,156
2023-07-24,0,156
2023-07-31,0,156
2023-08-07,1,157
2023-08-14,1,158
2023-08-21,2,160
2023-08-28,0,160
2023-09-04,1,161
2023-09-11,1,162
2023-09-18,1,163
2023-09-25,0,163
2023-10-02,1,164
2023-10-09,0,164
2023-10-16,0,164
2023-10-23,3,167
2023-10-30,0,167
2023-11-06,2,169
2023-11-13,0,169
2023-11-20,3,172
2023-11-27,1,173
2023-12-04,0,173
2023-12-11,1,174
2023-12-18,1,175
2023-12-25,0,175
2024-01-01,0,175
2024-01-08,2,177
2024-01-15,2,179
2024-01-22,3,182
2024-01-29,3,185
2024-02-05,0,185
2024-02-12,0,185
2024-02-19,1,186
2024-02-26,2,188
2024-03-04,0,188
2024-03-11,0,188
2024-03-18,1,189
2024-03-25,2,191
2024-04-01,1,192
2024-04-08,1,193
2024-04-15,1,194
2024-04-22,1,195
2024-04-29,1,196
2024-05-06,3,199
2024-05-13,3,202
2024-05-20,1,203
2024-05-27,3,206
2024-06-03,2,208
2024-06-10,4,212
2024-06-17,3,215
2024-06-24,2,217
2024-07-01,2,219
2024-07-08,3,222
2024-07-15,2,224
2024-07-22,2,226
2024-07-29,4,230
2024-08-05,2,232
2024-08-12,0,232
2024-08-19,0,232
2024-08-26,4,236
2024-09-02,1,237
