Tgl. Mohon,count,cumulative_sum
2021-02-15,1,1
2021-04-26,1,2
2021-05-05,1,3
2021-06-11,1,4
2021-06-25,1,5
2021-08-02,1,6
2021-09-03,1,7
2021-09-10,1,8
2021-09-20,1,9
2021-12-08,1,10
2021-12-20,1,11
2022-01-05,1,12
2022-01-10,1,13
2022-01-12,1,14
2022-01-14,1,15
2022-01-20,1,16
2022-01-24,2,18
2022-01-28,1,19
2022-02-18,1,20
2022-02-28,1,21
2022-03-04,1,22
2022-03-08,1,23
2022-03-09,1,24
2022-03-28,1,25
2022-03-29,1,26
2022-04-06,1,27
2022-05-06,1,28
2022-05-10,1,29
2022-06-02,1,30
2022-06-21,1,31
2022-06-24,1,32
2022-06-27,1,33
2022-06-30,1,34
2022-07-28,1,35
2022-08-04,1,36
2022-08-13,1,37
2022-09-22,1,38
2022-09-23,1,39
2022-09-30,1,40
2022-10-07,1,41
2022-10-13,1,42
2022-10-15,1,43
2022-11-05,1,44
2022-12-20,1,45
2023-01-09,1,46
2023-01-12,2,48
2023-01-20,1,49
2023-02-04,1,50
2023-02-11,1,51
2023-02-15,1,52
2023-03-11,2,54
2023-03-25,2,56
2023-03-28,1,57
2023-04-15,1,58
2023-04-18,1,59
2023-05-10,1,60
2023-05-13,1,61
2023-05-19,1,62
2023-05-23,1,63
2023-05-25,1,64
2023-06-14,1,65
2023-06-28,1,66
2023-07-17,1,67
2023-08-01,1,68
2023-08-14,1,69
2023-08-21,1,70
2023-08-25,1,71
2023-09-16,1,72
2023-10-16,1,73
2023-11-20,1,74
2023-11-24,1,75
2023-12-15,1,76
2024-01-23,1,77
2024-03-31,1,78
2024-04-24,1,79
2024-04-30,1,80
2024-05-15,1,81
2024-06-12,1,82
2024-07-16,1,83
2024-08-27,1,84
