Tgl. Mohon,count,cumulative_sum
2021-01-02,5,5
2021-01-04,2,7
2021-01-05,3,10
2021-01-06,4,14
2021-01-07,7,21
2021-01-08,5,26
2021-01-09,1,27
2021-01-11,6,33
2021-01-12,3,36
2021-01-13,1,37
2021-01-14,1,38
2021-01-15,4,42
2021-01-16,1,43
2021-01-19,2,45
2021-01-20,5,50
2021-01-21,5,55
2021-01-22,1,56
2021-01-23,3,59
2021-01-25,3,62
2021-01-26,4,66
2021-01-27,1,67
2021-01-28,1,68
2021-01-29,3,71
2021-01-31,2,73
2021-02-02,3,76
2021-02-03,1,77
2021-02-04,1,78
2021-02-08,4,82
2021-02-09,4,86
2021-02-10,3,89
2021-02-11,5,94
2021-02-13,3,97
2021-02-15,2,99
2021-02-16,2,101
2021-02-17,5,106
2021-02-18,4,110
2021-02-20,1,111
2021-02-22,2,113
2021-02-23,3,116
2021-02-24,3,119
2021-02-25,6,125
2021-02-26,3,128
2021-02-27,1,129
2021-02-28,2,131
2021-03-01,6,137
2021-03-02,1,138
2021-03-03,2,140
2021-03-04,1,141
2021-03-05,2,143
2021-03-06,3,146
2021-03-08,5,151
2021-03-09,2,153
2021-03-10,5,158
2021-03-12,2,160
2021-03-13,6,166
2021-03-17,5,171
2021-03-18,2,173
2021-03-19,3,176
2021-03-20,1,177
2021-03-22,3,180
2021-03-23,3,183
2021-03-24,1,184
2021-03-25,2,186
2021-03-26,5,191
2021-03-27,4,195
2021-03-29,1,196
2021-03-30,2,198
2021-03-31,4,202
2021-04-01,3,205
2021-04-03,2,207
2021-04-05,6,213
2021-04-06,4,217
2021-04-07,3,220
2021-04-08,2,222
2021-04-09,3,225
2021-04-10,4,229
2021-04-12,7,236
2021-04-13,3,239
2021-04-14,4,243
2021-04-15,1,244
2021-04-16,5,249
2021-04-17,3,252
2021-04-19,5,257
2021-04-20,6,263
2021-04-21,1,264
2021-04-22,2,266
2021-04-23,4,270
2021-04-24,1,271
2021-04-26,4,275
2021-04-27,2,277
2021-04-28,5,282
2021-04-29,2,284
2021-04-30,4,288
2021-05-03,5,293
2021-05-04,4,297
2021-05-05,4,301
2021-05-06,7,308
2021-05-07,2,310
2021-05-08,7,317
2021-05-10,7,324
2021-05-11,4,328
2021-05-12,2,330
2021-05-17,10,340
2021-05-18,3,343
2021-05-19,1,344
2021-05-20,1,345
2021-05-21,2,347
2021-05-22,2,349
2021-05-24,2,351
2021-05-25,2,353
2021-05-26,2,355
2021-05-28,2,357
2021-05-29,1,358
2021-05-31,1,359
2021-06-01,2,361
2021-06-02,5,366
2021-06-03,3,369
2021-06-04,6,375
2021-06-05,5,380
2021-06-07,4,384
2021-06-08,3,387
2021-06-09,4,391
2021-06-10,2,393
2021-06-11,6,399
2021-06-12,4,403
2021-06-14,1,404
2021-06-16,3,407
2021-06-17,6,413
2021-06-18,2,415
2021-06-19,3,418
2021-06-21,1,419
2021-06-22,3,422
2021-06-23,2,424
2021-06-24,4,428
2021-06-25,2,430
2021-06-28,3,433
2021-06-30,2,435
2021-07-01,1,436
2021-07-02,5,441
2021-07-03,2,443
2021-07-05,2,445
2021-07-06,1,446
2021-07-07,2,448
2021-07-08,3,451
2021-07-10,1,452
2021-07-12,1,453
2021-07-13,1,454
2021-07-14,1,455
2021-07-15,2,457
2021-07-16,2,459
2021-07-22,2,461
2021-07-23,4,465
2021-07-24,4,469
2021-07-26,7,476
2021-07-27,2,478
2021-07-28,1,479
2021-07-29,2,481
2021-07-30,2,483
2021-07-31,3,486
2021-08-03,1,487
2021-08-04,3,490
2021-08-05,2,492
2021-08-06,1,493
2021-08-07,3,496
2021-08-09,1,497
2021-08-10,5,502
2021-08-12,2,504
2021-08-14,3,507
2021-08-16,6,513
2021-08-17,2,515
2021-08-18,1,516
2021-08-20,5,521
2021-08-23,1,522
2021-08-24,1,523
2021-08-25,8,531
2021-08-26,3,534
2021-08-27,2,536
2021-08-28,1,537
2021-08-30,1,538
2021-08-31,3,541
2021-09-01,2,543
2021-09-02,8,551
2021-09-03,3,554
2021-09-04,5,559
2021-09-06,3,562
2021-09-07,6,568
2021-09-08,7,575
2021-09-09,8,583
2021-09-10,4,587
2021-09-13,10,597
2021-09-14,3,600
2021-09-15,1,601
2021-09-16,4,605
2021-09-17,5,610
2021-09-18,5,615
2021-09-20,7,622
2021-09-21,4,626
2021-09-22,5,631
2021-09-23,5,636
2021-09-24,4,640
2021-09-25,4,644
2021-09-27,5,649
2021-09-28,1,650
2021-09-29,2,652
2021-09-30,5,657
2021-10-01,5,662
2021-10-02,4,666
2021-10-04,4,670
2021-10-05,5,675
2021-10-06,4,679
2021-10-07,2,681
2021-10-08,5,686
2021-10-09,3,689
2021-10-11,5,694
2021-10-12,2,696
2021-10-13,5,701
2021-10-14,1,702
2021-10-15,3,705
2021-10-16,3,708
2021-10-18,6,714
2021-10-19,3,717
2021-10-21,8,725
2021-10-22,5,730
2021-10-23,7,737
2021-10-24,1,738
2021-10-25,3,741
2021-10-26,3,744
2021-10-27,3,747
2021-10-28,2,749
2021-10-29,1,750
2021-10-30,4,754
2021-10-31,2,756
2021-11-01,4,760
2021-11-02,4,764
2021-11-03,3,767
2021-11-04,3,770
2021-11-05,3,773
2021-11-06,3,776
2021-11-08,2,778
2021-11-09,4,782
2021-11-10,4,786
2021-11-11,4,790
2021-11-12,5,795
2021-11-13,5,800
2021-11-15,1,801
2021-11-16,7,808
2021-11-17,2,810
2021-11-18,4,814
2021-11-19,2,816
2021-11-20,6,822
2021-11-22,6,828
2021-11-23,2,830
2021-11-24,2,832
2021-11-25,3,835
2021-11-26,3,838
2021-11-27,3,841
2021-11-29,3,844
2021-11-30,7,851
2021-12-01,2,853
2021-12-02,4,857
2021-12-03,4,861
2021-12-04,6,867
2021-12-06,7,874
2021-12-07,2,876
2021-12-08,7,883
2021-12-09,3,886
2021-12-10,2,888
2021-12-11,4,892
2021-12-13,5,897
2021-12-14,3,900
2021-12-15,5,905
2021-12-16,10,915
2021-12-17,4,919
2021-12-18,4,923
2021-12-20,2,925
2021-12-21,2,927
2021-12-22,2,929
2021-12-23,3,932
2021-12-24,1,933
2021-12-27,2,935
2021-12-28,2,937
2022-01-03,7,944
2022-01-04,5,949
2022-01-05,7,956
2022-01-06,6,962
2022-01-07,5,967
2022-01-08,2,969
2022-01-10,4,973
2022-01-11,2,975
2022-01-12,3,978
2022-01-13,3,981
2022-01-14,3,984
2022-01-19,6,990
2022-01-20,4,994
2022-01-21,2,996
2022-01-22,3,999
2022-01-24,6,1005
2022-01-25,2,1007
2022-01-26,8,1015
2022-01-27,5,1020
2022-01-29,1,1021
2022-02-02,1,1022
