Tgl. Mohon,count,cumulative_sum
2022-07-26,1,1
2022-08-08,1,2
2022-08-10,1,3
2022-09-19,1,4
2022-09-23,2,6
2022-09-27,1,7
2022-09-29,1,8
2022-10-14,4,12
2022-10-16,2,14
2022-10-21,1,15
2022-10-22,1,16
2022-10-26,1,17
2022-10-28,1,18
2022-10-30,1,19
2022-11-02,1,20
2022-11-04,1,21
2022-11-06,1,22
2022-11-08,1,23
2022-11-10,1,24
2022-11-11,1,25
2022-11-12,1,26
2022-11-14,1,27
2022-11-15,4,31
2022-11-17,1,32
2022-11-18,1,33
2022-11-19,1,34
2022-11-21,1,35
2022-11-23,1,36
2022-11-24,1,37
2022-11-26,1,38
2022-11-27,1,39
2022-11-29,2,41
2022-11-30,1,42
2022-12-03,4,46
2022-12-04,1,47
2022-12-07,2,49
2022-12-08,1,50
2022-12-09,1,51
2022-12-10,1,52
2022-12-11,1,53
2022-12-12,1,54
2022-12-13,1,55
2022-12-17,2,57
2022-12-24,2,59
2022-12-29,1,60
2023-01-03,1,61
2023-01-05,3,64
2023-01-06,1,65
2023-01-07,1,66
2023-01-09,1,67
2023-01-12,1,68
2023-01-13,1,69
2023-01-17,1,70
2023-01-20,1,71
2023-01-21,1,72
2023-01-23,1,73
2023-01-26,1,74
2023-01-27,1,75
2023-01-28,2,77
2023-02-02,1,78
2023-02-09,1,79
2023-02-11,2,81
2023-02-13,1,82
2023-02-17,1,83
2023-02-20,1,84
2023-02-21,1,85
2023-02-23,3,88
2023-02-25,1,89
2023-02-26,1,90
2023-02-27,1,91
2023-02-28,2,93
2023-03-02,1,94
2023-03-03,2,96
2023-03-08,1,97
2023-03-09,2,99
2023-03-11,1,100
2023-03-17,3,103
2023-03-18,1,104
2023-03-19,1,105
2023-03-20,1,106
2023-03-21,1,107
2023-03-23,1,108
2023-03-24,1,109
2023-03-30,1,110
2023-03-31,2,112
2023-04-05,1,113
2023-04-12,2,115
2023-04-13,1,116
2023-04-18,2,118
2023-04-19,2,120
2023-04-20,1,121
2023-04-26,3,124
2023-04-27,1,125
2023-05-04,1,126
2023-05-05,1,127
2023-05-07,2,129
2023-05-09,1,130
2023-05-13,2,132
2023-05-15,1,133
2023-05-18,1,134
2023-05-20,1,135
2023-05-23,2,137
2023-05-31,2,139
2023-06-06,2,141
2023-06-08,1,142
2023-06-12,2,144
2023-06-16,2,146
2023-06-19,3,149
2023-06-20,1,150
2023-06-21,1,151
2023-06-22,1,152
2023-06-24,1,153
2023-06-27,2,155
2023-06-30,2,157
2023-07-04,1,158
2023-07-06,1,159
2023-07-08,1,160
2023-07-13,1,161
2023-07-15,1,162
2023-07-22,2,164
2023-07-24,1,165
2023-07-26,1,166
2023-07-28,1,167
2023-07-31,1,168
2023-08-10,1,169
2023-08-11,4,173
2023-08-12,4,177
2023-08-18,1,178
2023-08-25,1,179
2023-08-31,1,180
2023-09-05,1,181
2023-09-12,1,182
2023-09-13,1,183
2023-09-20,2,185
2023-09-28,1,186
2023-10-02,1,187
2023-10-05,1,188
2023-10-10,1,189
2023-10-12,1,190
2023-10-18,2,192
2023-10-19,1,193
2023-10-21,2,195
2023-10-28,1,196
2023-10-30,2,198
2023-11-03,1,199
2023-11-04,2,201
2023-11-06,1,202
2023-11-07,1,203
2023-11-08,2,205
2023-11-11,1,206
2023-11-13,2,208
2023-11-14,2,210
2023-11-15,3,213
2023-11-16,1,214
2023-11-20,1,215
2023-11-23,3,218
2023-11-24,1,219
2023-11-27,1,220
2023-11-28,1,221
2023-12-04,1,222
2023-12-14,1,223
2023-12-16,1,224
2023-12-20,1,225
2023-12-22,1,226
2023-12-23,1,227
2023-12-25,1,228
2023-12-26,2,230
2023-12-28,2,232
2024-01-03,1,233
2024-01-09,1,234
2024-01-10,1,235
2024-01-13,4,239
2024-01-16,7,246
2024-01-17,2,248
2024-01-19,1,249
2024-01-20,1,250
2024-01-23,1,251
2024-01-24,1,252
2024-01-26,1,253
2024-01-27,1,254
2024-01-29,1,255
2024-01-30,2,257
2024-02-03,1,258
2024-02-05,1,259
2024-02-08,1,260
2024-02-13,2,262
2024-02-17,1,263
2024-02-20,1,264
2024-03-06,2,266
2024-03-07,3,269
2024-03-08,1,270
2024-03-09,2,272
2024-03-14,3,275
2024-03-18,2,277
2024-03-20,2,279
2024-03-21,4,283
2024-03-23,5,288
2024-03-25,1,289
2024-03-26,2,291
2024-03-27,2,293
2024-04-02,1,294
2024-04-03,3,297
2024-04-06,1,298
2024-04-15,1,299
2024-04-18,2,301
2024-04-19,1,302
2024-04-25,1,303
2024-04-26,1,304
2024-04-30,4,308
2024-05-04,1,309
2024-05-06,1,310
2024-05-07,2,312
2024-05-10,1,313
2024-05-11,3,316
2024-05-13,2,318
2024-05-14,1,319
2024-05-15,3,322
2024-05-16,2,324
2024-05-18,2,326
2024-05-21,2,328
2024-05-24,2,330
2024-05-25,1,331
2024-05-27,1,332
2024-05-28,1,333
2024-05-29,2,335
2024-05-30,3,338
2024-05-31,1,339
2024-06-03,1,340
2024-06-04,2,342
2024-06-06,1,343
2024-06-07,2,345
2024-06-10,2,347
2024-06-11,1,348
2024-06-12,1,349
2024-06-14,2,351
2024-06-15,2,353
2024-06-18,1,354
2024-06-24,1,355
2024-06-27,1,356
2024-06-28,2,358
2024-06-29,5,363
2024-06-30,2,365
2024-07-03,1,366
2024-07-04,2,368
2024-07-05,1,369
2024-07-06,3,372
2024-07-09,1,373
2024-07-10,1,374
2024-07-12,1,375
2024-07-13,2,377
2024-07-16,2,379
2024-07-17,3,382
2024-07-18,7,389
2024-07-19,1,390
2024-07-20,3,393
2024-07-22,5,398
2024-07-23,1,399
2024-07-24,3,402
2024-07-25,5,407
2024-07-26,3,410
2024-07-27,4,414
2024-07-29,2,416
2024-07-30,2,418
2024-07-31,7,425
2024-08-02,1,426
2024-08-03,8,434
2024-08-05,6,440
2024-08-06,4,444
2024-08-07,5,449
2024-08-08,5,454
2024-08-09,3,457
2024-08-10,7,464
2024-08-13,8,472
2024-08-14,6,478
2024-08-15,4,482
2024-08-16,1,483
2024-08-19,4,487
2024-08-20,8,495
2024-08-21,3,498
2024-08-22,1,499
2024-08-23,3,502
2024-08-24,2,504
2024-08-26,4,508
2024-08-27,2,510
2024-08-28,5,515
2024-08-29,6,521
2024-08-30,3,524
2024-08-31,9,533
